time,pm10,pm2_5,nitrogen_dioxide,ozone,european_aqi,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,surface_pressure
2024-09-06 00:00:00,58.9,40.7,86.7,0.0,73,24.9,85,8.5,144,949.7
2024-09-06 01:00:00,58.3,40.3,76.5,2.0,68,25.6,81,7.2,143,950.2
2024-09-06 02:00:00,58.0,40.0,63.7,13.0,62,25.3,81,15.0,132,950.7
2024-09-06 03:00:00,56.2,39.0,46.1,37.0,54,24.5,82,14.2,114,950.9
2024-09-06 04:00:00,48.8,33.9,25.7,69.0,51,23.7,82,8.6,68,951.0
2024-09-06 05:00:00,36.3,25.1,6.4,113.0,53,23.0,86,6.6,77,951.4
2024-09-06 06:00:00,34.5,23.9,9.1,107.0,47,24.3,86,9.7,138,951.4
2024-09-06 07:00:00,34.0,23.6,12.8,101.0,45,24.8,84,7.4,133,952.1
2024-09-06 08:00:00,35.3,24.3,14.5,102.0,45,25.9,80,4.8,117,952.9
2024-09-06 09:00:00,36.6,25.1,12.5,119.0,59,27.3,75,4.5,119,953.7
2024-09-06 10:00:00,36.3,24.9,8.7,144.0,72,28.2,72,2.3,321,954.5
2024-09-06 11:00:00,38.9,26.2,5.5,164.0,84,29.0,69,2.3,342,954.3
2024-09-06 12:00:00,41.4,27.7,4.0,175.0,95,29.8,67,3.3,41,953.9
2024-09-06 13:00:00,42.8,28.5,3.2,182.0,102,30.4,66,3.1,36,953.4
2024-09-06 14:00:00,43.3,28.5,3.0,184.0,104,30.4,67,3.1,21,952.5
2024-09-06 15:00:00,43.0,28.0,1.9,184.0,104,30.6,65,1.5,346,951.8
2024-09-06 16:00:00,42.5,27.5,1.5,179.0,99,29.7,69,3.0,284,951.4
2024-09-06 17:00:00,41.7,27.5,8.2,175.0,95,29.4,71,2.4,333,950.8
2024-09-06 18:00:00,44.2,29.3,24.7,148.0,74,28.7,76,4.7,113,950.8
2024-09-06 19:00:00,57.7,38.9,47.9,109.0,54,27.8,76,7.9,129,950.9
2024-09-06 20:00:00,66.8,45.2,68.7,74.0,64,27.1,80,7.7,143,951.8
2024-09-06 21:00:00,75.0,50.9,85.7,44.0,73,26.7,82,9.7,138,952.8
2024-09-06 22:00:00,79.4,54.4,100.3,18.0,80,26.1,87,9.7,129,953.1
2024-09-06 23:00:00,80.1,54.9,107.9,0.0,83,25.1,87,2.3,321,954.2
2024-09-07 00:00:00,75.7,52.2,105.7,0.0,82,23.6,96,9.9,100,953.9
2024-09-07 01:00:00,72.9,50.2,96.4,0.0,78,23.6,94,5.6,207,954.8
2024-09-07 02:00:00,70.1,48.2,84.1,7.0,72,22.5,97,7.6,31,954.6
2024-09-07 03:00:00,68.2,46.8,67.5,18.0,64,22.5,96,5.3,28,954.4
